"","data_somministrazione","area","totale","sesso_maschile","sesso_femminile","categoria_operatori_sanitari_sociosanitari","categoria_personale_non_sanitario","categoria_ospiti_rsa"
"143",2021-01-05,"MOL",448,180,268,440,8,0
"144",2021-01-05,"PAB",817,287,530,683,134,0
"145",2021-01-05,"PAT",694,233,461,485,52,157
"146",2021-01-05,"PIE",5004,1486,3518,4142,685,177
"147",2021-01-05,"PUG",5380,2421,2959,4944,328,108
"148",2021-01-05,"SAR",1247,417,830,1210,37,0
"149",2021-01-05,"SIC",10054,4914,5140,8555,1320,179
"150",2021-01-05,"TOS",5233,1752,3481,4344,11,878
"151",2021-01-05,"UMB",856,425,431,856,0,0
"152",2021-01-05,"VDA",150,54,96,139,0,11
"153",2021-01-05,"VEN",7249,2156,5093,5470,666,1113
"154",2021-01-06,"ABR",1720,646,1074,1554,33,133
"155",2021-01-06,"BAS",220,104,116,220,0,0
"156",2021-01-06,"CAL",1074,547,527,1014,60,0
"157",2021-01-06,"CAM",7625,3747,3878,6196,1128,301
"158",2021-01-06,"EMR",8046,2880,5166,5143,2420,483
"159",2021-01-06,"FVG",708,264,444,443,265,0
"160",2021-01-06,"LAZ",4854,1829,3025,4098,454,302
"161",2021-01-06,"LIG",1655,610,1045,1261,208,186
"162",2021-01-06,"LOM",6997,2462,4535,5813,1126,58
"163",2021-01-06,"MAR",2138,785,1353,1674,357,107
"164",2021-01-06,"MOL",680,257,423,443,56,181
"165",2021-01-06,"PAB",60,19,41,40,20,0
"166",2021-01-06,"PAT",42,13,29,42,0,0
"167",2021-01-06,"PIE",2979,1072,1907,2313,403,263
"168",2021-01-06,"PUG",3548,1467,2081,3099,94,355
"169",2021-01-06,"SAR",1423,488,935,1310,113,0
"170",2021-01-06,"SIC",6225,3211,3014,5419,800,6
"171",2021-01-06,"TOS",4451,1446,3005,3962,9,480
"172",2021-01-06,"UMB",846,323,523,846,0,0
"173",2021-01-06,"VDA",66,34,32,48,0,18
"174",2021-01-06,"VEN",8070,2363,5707,6512,758,800
"175",2021-01-07,"ABR",1716,572,1144,1679,37,0
"176",2021-01-07,"BAS",647,325,322,612,8,27
"177",2021-01-07,"CAL",2880,1426,1454,2579,301,0
"178",2021-01-07,"CAM",8848,4139,4709,7176,1344,328
"179",2021-01-07,"EMR",9976,3332,6644,6130,3121,725
"180",2021-01-07,"FVG",2088,717,1371,1668,315,105
"181",2021-01-07,"LAZ",7442,2746,4696,6045,901,496
"182",2021-01-07,"LIG",3178,1079,2099,2229,502,447
"183",2021-01-07,"LOM",10663,3398,7265,8831,1272,560
"184",2021-01-07,"MAR",2049,741,1308,1829,220,0
"185",2021-01-07,"MOL",594,208,386,386,62,146
"186",2021-01-07,"PAB",814,285,529,573,213,28
"187",2021-01-07,"PAT",1271,310,961,648,70,553
"188",2021-01-07,"PIE",5100,1664,3436,4088,868,144
"189",2021-01-07,"PUG",5139,2192,2947,4609,315,215
"190",2021-01-07,"SAR",2828,966,1862,2449,379,0
"191",2021-01-07,"SIC",8502,3915,4587,7088,1202,212
"192",2021-01-07,"TOS",5933,1723,4210,5289,30,614
"193",2021-01-07,"UMB",1322,393,929,899,4,419
"194",2021-01-07,"VDA",279,113,166,273,0,6
"195",2021-01-07,"VEN",7995,2236,5759,5341,857,1797
"196",2021-01-08,"ABR",1638,539,1099,1596,42,0
"197",2021-01-08,"BAS",337,143,194,275,23,39
"198",2021-01-08,"CAL",1290,632,658,1171,119,0
"199",2021-01-08,"CAM",10306,4902,5404,7792,2303,211
"200",2021-01-08,"EMR",10433,3474,6959,6247,3435,751
"201",2021-01-08,"FVG",2146,702,1444,1541,365,240
"202",2021-01-08,"LAZ",6904,2580,4324,5346,832,726
"203",2021-01-08,"LIG",2737,967,1770,1986,425,326
"204",2021-01-08,"LOM",11062,3402,7660,9293,1432,337
"205",2021-01-08,"MAR",1572,591,981,1323,224,25
"206",2021-01-08,"MOL",429,140,289,234,75,120
"207",2021-01-08,"PAB",1306,422,884,756,252,298
"208",2021-01-08,"PAT",1297,297,1000,732,141,424
"209",2021-01-08,"PIE",5163,1676,3487,3963,994,206
"210",2021-01-08,"PUG",4660,1915,2745,4088,353,219
"211",2021-01-08,"SAR",3178,1182,1996,2860,318,0
"212",2021-01-08,"SIC",7456,3445,4011,5948,1334,174
"213",2021-01-08,"TOS",5701,1579,4122,5283,37,381
"214",2021-01-08,"UMB",1061,332,729,849,10,202
"215",2021-01-08,"VDA",299,130,169,275,0,24
"216",2021-01-08,"VEN",8999,2703,6296,6030,1357,1612
"217",2021-01-09,"ABR",78,24,54,77,1,0
"218",2021-01-09,"EMR",3974,1398,2576,2529,1283,162
"219",2021-01-09,"LAZ",180,68,112,130,49,1
"220",2021-01-09,"LIG",126,57,69,53,23,50
"221",2021-01-09,"LOM",864,291,573,715,140,9
"222",2021-01-09,"PAB",38,18,20,9,13,16
"223",2021-01-09,"SAR",72,20,52,72,0,0
